LAT;;;;;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584
LON;;;;;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327
ASL;;;;;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000
CITY;;;;;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel
DOMAIN;;;;;NEMS4;NEMS12;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;sfc;sfc;sfc;10 m above gnd;10 m above gnd;2 m above gnd;2 m above gnd;sfc;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Total Precipitation;Snowfall amount;Total cloud cover;Wind speed;Wind direction;Temperature;Temperature;Total cloud cover;Total cloud cover;Wind speed;Wind speed
UNIT;;;;;°C;mm;cm;%;km/h;°;°C;°C;%;%;km/h;km/h
AGGREGATION;;;;;daily mean;daily sum;daily sum;daily mean;daily mean;daily mean;daily max;daily min;daily max;daily min;daily max;daily min
UTC_OFFSET;;;;;2;2;2;2;2;2;2;2;2;2;2;2

Year;Month;Day;Hour;Minute;Temperature daily mean [2 m above gnd];Total Precipitation daily sum [sfc];Snowfall amount daily sum [sfc];Total cloud cover daily mean [sfc];Wind speed daily mean [10 m above gnd];Wind direction daily mean [10 m above gnd];Temperature daily max [2 m above gnd];Temperature daily min [2 m above gnd];Total cloud cover daily max [sfc];Total cloud cover daily min [sfc];Wind speed daily max [10 m above gnd];Wind speed daily min [10 m above gnd]
2007;12;26;00;00;3.15;0.60;0.00;100.00;5.28;230.18;8.12;0.79;100.00;100.00;6.97;3.81
2007;12;27;00;00;3.18;0.00;0.00;61.16;2.98;221.54;6.69;1.27;100.00;0.00;4.38;0.92
2007;12;28;00;00;1.92;0.00;0.00;41.70;3.92;159.39;6.76;-0.86;100.00;0.00;5.61;2.92
2007;12;29;00;00;2.05;1.10;0.00;25.15;9.48;198.24;9.75;-2.44;100.00;0.00;15.89;5.97
2007;12;30;00;00;4.99;3.50;0.00;100.00;9.27;247.23;6.58;4.17;100.00;100.00;14.32;7.26
2007;12;31;00;00;3.76;0.00;0.00;80.38;4.90;251.63;7.14;1.58;100.00;17.00;7.45;1.79
2008;01;01;00;00;1.46;0.00;0.00;41.38;4.71;154.91;3.79;-0.70;100.00;0.00;11.57;0.00
2008;01;02;00;00;-0.72;0.00;0.00;33.62;12.34;108.29;2.61;-4.04;100.00;0.00;19.93;1.44
2008;01;03;00;00;1.31;0.00;0.00;69.45;16.66;115.61;5.63;-1.18;100.00;2.10;24.02;3.24
2008;01;04;00;00;3.01;0.00;0.00;56.33;12.14;114.45;9.20;-1.62;100.00;0.00;19.05;5.40
2008;01;05;00;00;7.09;2.90;0.00;96.71;13.80;180.28;10.95;2.60;100.00;38.00;25.01;5.12
2008;01;06;00;00;7.07;10.80;0.00;90.50;12.91;232.90;8.54;5.87;100.00;21.00;25.57;3.38
2008;01;07;00;00;7.16;1.00;0.00;72.08;16.66;215.35;12.42;3.59;100.00;0.00;37.57;4.37
2008;01;08;00;00;4.76;0.00;0.00;56.09;7.99;140.53;7.92;2.77;100.00;0.00;14.01;3.96
2008;01;09;00;00;5.51;0.60;0.00;90.79;8.35;150.37;10.32;2.20;100.00;3.00;11.09;6.21
2008;01;10;00;00;7.59;0.00;0.00;32.12;6.89;160.41;11.72;2.58;100.00;0.00;10.30;4.91
2008;01;11;00;00;4.78;0.00;0.00;30.91;14.81;123.98;10.99;0.64;100.00;0.90;23.47;6.64
2008;01;12;00;00;4.62;2.40;0.00;92.67;15.13;235.35;5.74;1.74;100.00;0.00;21.25;7.77
2008;01;13;00;00;2.31;0.00;0.00;23.25;10.06;136.68;6.37;-0.34;100.00;0.00;17.41;2.55
2008;01;14;00;00;3.65;1.00;0.00;73.13;7.27;138.85;8.95;-0.08;100.00;0.00;9.69;4.68
2008;01;15;00;00;6.32;0.30;0.00;66.08;13.87;171.72;10.17;1.65;100.00;0.00;22.70;6.92
2008;01;16;00;00;6.94;3.90;0.00;99.17;10.05;165.18;8.77;4.23;100.00;80.00;26.43;3.72
2008;01;17;00;00;5.98;0.30;0.00;56.30;10.00;199.40;9.92;2.75;100.00;0.00;20.52;3.62
2008;01;18;00;00;9.48;2.00;0.00;90.80;18.40;236.94;10.85;6.86;100.00;3.30;27.19;9.69
2008;01;19;00;00;10.51;0.00;0.00;10.16;17.23;240.47;13.25;7.26;68.00;1.80;23.03;8.77
2008;01;20;00;00;7.70;0.00;0.00;19.26;9.98;226.04;11.68;4.62;100.00;1.20;16.30;4.51
2008;01;21;00;00;6.40;0.00;0.00;42.47;9.92;220.10;12.18;1.15;100.00;1.50;25.54;4.88
2008;01;22;00;00;6.84;10.00;0.00;73.88;26.06;284.29;8.73;2.87;100.00;0.00;40.42;2.88
2008;01;23;00;00;3.25;0.00;0.00;7.07;7.40;128.13;7.79;-1.50;40.00;0.00;14.83;1.80
2008;01;24;00;00;6.36;0.00;0.00;23.32;5.51;201.98;11.87;1.76;100.00;0.00;7.15;4.02
2008;01;25;00;00;5.19;0.80;0.00;66.35;4.99;269.77;7.32;2.70;100.00;0.00;13.44;0.80
2008;01;26;00;00;3.86;0.00;0.00;17.46;3.67;167.95;7.63;0.21;100.00;0.00;6.48;0.36
